Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
LMV,SIVA ENGINEERING WORKS,0,1,0,0,0,0,0,0,0,0,1
LMV,SIVASAKTHI ENGINEERING WORKS,0,1,0,0,0,0,0,0,0,0,1
3W,SIWACH STEEL PVT LTD,0,24,285,331,188,42,47,98,24,8,1047
3W,SIX SENSES AUTOMOTIVE PVT LTD,0,0,0,0,63,8,0,4,12,33,120
3W,SKS AUTOMOBILES (I) PVT LTD,0,0,20,0,0,0,0,5,2,0,27
3W,SKS TRADE INDIA PVT LTD,0,0,203,770,1354,854,2236,6308,10078,5687,27490
LMV,SKS TRADE INDIA PVT LTD,0,0,0,0,3,0,0,0,0,1,4
3W,SKYRIDE AUTOMOTIVE,0,301,344,285,447,393,520,90,40,14,2434
3W,SKYY RIDER ELECTRIC PRIVATE LIMITED,0,0,0,0,0,0,0,0,1,143,144
2W,SMAP VEHICLES (IMPORTER: ELEGO MOTORS),0,0,0,0,0,0,0,0,15,2,17
3W,SMART ELECTRO MOTORS,0,0,4,23,25,31,38,48,47,44,260
3W,SMARTOMATIC VEHICLES PRIVATE LIMITED,0,0,0,0,0,0,0,0,2,0,2
3W,SMITH MOTORS PVT LTD,0,0,0,0,0,0,0,0,4,0,4
3W,SML ISUZU LTD,0,1,17,0,0,0,0,0,0,0,18
LMV,SML ISUZU LTD,0,4,0,0,0,0,0,0,0,0,4
MMV,SML ISUZU LTD,1,0,0,0,0,0,0,0,0,0,1
3W,SN SOLAR ENERGY,0,0,0,61,121,28,44,23,187,244,708
2W,SOKUDO ELECTRIC INDIA PVT LTD,0,0,0,0,0,0,0,0,132,232,364
3W,SONI E VEHICLE PVT LTD,0,41,109,380,320,41,74,173,64,22,1224
LMV,SONI E VEHICLE PVT LTD,0,0,1,0,0,0,0,0,0,0,1
3W,SONI E VEHICLES PVT LTD,44,252,138,13,0,0,0,0,0,0,447
3W,SPEED AUTO TECH,0,0,0,0,0,0,0,8,87,20,115
3W,SPEEDWAYS ELECTRIC,0,0,85,64,19,11,3,1,5,2,190
3W,SPEEDWAYS ELECTRIC PVT LTD,0,14,11,0,0,0,0,0,0,0,25
3W,SPEEGO VEHICLES CO PVT LTD,0,33,427,900,913,891,1877,3734,4770,2228,15773
3W,SPEEGO VEHICLES PVT. LTD,227,287,164,15,0,13,73,131,12,0,922
3W,SRD RENEWABLES,0,0,0,5,162,113,481,1222,2121,941,5045
LMV,SRI RAMA TRAILERS,1,0,0,0,0,0,0,0,0,0,1
3W,SRI SAI MARKETING,0,1,0,0,0,0,0,0,0,0,1
2W,SRIVARU MOTORS PVT LTD,0,0,0,0,0,0,77,60,24,0,161
3W,SSB INDISTRIES,0,0,69,141,391,311,603,1746,2248,1021,6530
3W,SSEV ENTERPRISES PRIVATE LIMITED,0,0,0,0,0,0,0,340,767,620,1727
3W,SSV TECHNOLOGIES,0,0,0,0,0,0,0,2,0,1,3
3W,STANDARD CORPORATION INDIA LTD,0,0,3,0,0,0,0,0,0,0,3
3W,STAR BULL E MOTORS,0,0,0,185,361,257,434,2217,2077,1133,6664
3W,STAR IGLOBAL AUTOMOTIVE PVT LTD,0,0,0,0,0,12,81,211,570,315,1189
3W,STAR INDUSTRIES,0,0,0,0,0,0,0,0,0,47,47
3W,SUCCESSPATH MARKETING PVT LTD,0,17,30,6,0,0,0,0,0,0,53
3W,SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,0,0,0,0,0,0,0,11,175,223,409
3W,SUGANJI RARA ELECTRIC VEHICLE PVT LTD,0,0,0,2,0,18,10,4,0,0,34
2W,SUMEC CO LTD (IMPORTER: ROUTE & MARS EV LLP),0,0,0,0,0,0,0,0,0,1,1
3W,SUMFONL AUTO TRADERS PVT LTD,0,0,9,197,345,216,78,77,286,162,1370
3W,SUN AUTO,0,0,0,0,0,0,0,0,0,2,2
3W,SUN INDUSTRIES,0,0,0,0,0,0,0,0,0,207,207
3W,SUN MOTORS,1,3,7,4,0,0,0,0,0,0,15
3W,SUN MOTORS PVT LTD,0,0,6,0,0,0,0,0,0,0,6
3W,SUN SHINE ENGINEERING WORKS,0,1,1,0,0,0,0,0,0,0,2
3W,SUNANDA GREENTECH PVT LTD,0,0,0,0,0,0,0,0,11,112,123
3W,SUNARIYA MOTORS PVT LTD,0,0,0,0,0,0,0,0,36,31,67
3W,SUNKU AUTO LTD,0,0,6,0,0,0,0,0,0,0,6
3W,SUNLECTRA AUTO,0,0,0,0,0,0,1,0,0,0,1
3W,SUNSHINE TECHNOLOGIES,0,0,0,0,17,0,0,0,2,7,26
3W,SUNULTRA POWER SOLUTIONS PVT LTD,0,0,0,0,0,9,28,82,142,52,313
3W,SUPER METRO INDUSTRIES,0,0,0,0,0,1,94,1006,1198,538,2837
3W,SUPER POWER MOTORS,0,0,0,0,0,0,0,0,2,107,109
2W,SUPERECO AUTOMOTIVE CO,0,0,0,1,0,7,8,14,128,15,173
3W,SUPERECO AUTOMOTIVE CO,1,8,325,700,444,157,134,55,134,71,2029
3W,SUPERECO AUTOMOTIVE CO LLP,0,1,47,5,0,2,0,0,1,0,56
3W,SUPERTECH EV LIMITED,0,0,3,111,82,116,356,1038,2020,1390,5116
LMV,SUPERTECH EV LIMITED,0,0,0,0,0,0,0,0,0,1,1
3W,SUPREME SALES AGENCY,0,0,0,0,0,0,0,0,0,50,50
3W,SUPREME SMART POWER PVT LTD,0,0,0,0,0,0,64,244,434,219,961
3W,SUPROVA ENTERPRISE,0,0,0,0,0,2,0,0,4,3,9
3W,SURYA INTERNATIONAL,0,0,0,0,0,0,0,0,16,13,29
LMV,SURYA TRAILORS AND TANKERS,1,2,0,0,0,0,0,0,0,0,3
2W,SUZUKI MOTORCYCLE INDIA PVT LTD,17,24,20,2,1,0,0,9,0,0,73
3W,SUZUKI MOTORCYCLE INDIA PVT LTD,0,0,1,0,0,0,0,0,0,0,1
3W,SVS ENTERPRISES,0,0,0,0,0,0,0,0,84,17,101
3W,SWADESHI INDUSTRIES,0,0,0,19,18,0,0,0,0,0,37
3W,SWARNCHAKRA AUTOMOBILES PVT LTD,0,0,0,0,0,0,15,7,5,4,31
3W,SWASTIK,0,0,0,0,27,40,0,0,0,1,68
LMV,SWITCH MOBILITY AUTOMOTIVE LTD,0,0,0,0,0,0,0,1,0,84,85
3W,SYNDICATE AUTO COMPONENTS,0,0,0,0,11,13,58,227,77,51,437
3W,T U K INDUSTRIES,0,0,0,2,145,161,326,1240,2845,1948,6667
3W,TAFE LIMITED,0,0,1,0,0,0,0,0,0,0,1
LMV,TAFE LIMITED,0,1,0,1,0,0,0,0,0,0,2
3W,TAMILNADU MOPEDS LTD,0,0,0,1,0,0,0,0,0,0,1
3W,TAO POWER PRIVATE LIMITED,0,0,0,0,0,0,0,6,11,3,20
3W,TARA MAA MACHINERY,0,0,0,0,0,0,0,0,26,54,80
2W,TATA MOTORS LTD,0,2,0,0,0,0,0,0,0,0,2
3W,TATA MOTORS LTD,0,0,1,0,0,0,0,0,0,1,2
LMV,TATA MOTORS LTD,9,10,3,144,419,2717,10033,1621,1766,3076,19798
MMV,TATA MOTORS LTD,1,0,4,4,119,26,253,15,275,5,702
LMV,TATA MOTORS PASSENGER VEHICLES LTD,0,0,0,0,0,0,0,30610,21420,490,52520
LMV,TATA PASSENGER ELECTRIC MOBILITY LTD,0,0,0,0,0,0,0,0,38580,35830,74410
3W,TAURUS ELECTRIC VEHICLES,0,0,0,0,35,24,76,234,346,170,885
3W,TEJASGREEN AUTOMOTIVE PVT LTD,0,0,0,24,141,16,7,42,1,0,231
LMV,TELSA INC,0,0,0,0,0,0,1,0,0,0,1
3W,TEREX CORPORATION,0,15,6,1,0,0,0,0,0,0,22
3W,TERRA MOTORS INDIA PVT LTD,0,64,893,2704,3545,2631,3404,7876,8810,4959,34886
LMV,TERRA MOTORS INDIA PVT LTD,0,0,0,0,1,0,0,0,0,0,1
3W,THE COMMERCIAL MOTORS LIMITED,0,0,0,0,32,14,38,79,58,4,225
LMV,THE COMMERCIAL MOTORS LIMITED,0,0,0,0,1,0,0,0,0,0,1
3W,THE COMMERCIAL MOTORS PVT LTD,0,0,0,0,0,0,0,0,8,10,18
2W,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,0,0,1,48,8,57
3W,THUKRAL ELECTRIC BIKES PVT LTD,326,1493,1825,2850,3303,1986,3895,5915,7271,3924,32788
3W,TI CLEAN MOBILITY PVT LTD,0,0,0,0,0,0,0,1,1273,3139,4413
3W,TOP TEAM MACHINES PVT LTD,0,14,58,919,1103,869,943,1382,1743,809,7840
2W,TORK MOTORS PVT LTD,0,0,0,0,0,1,0,319,1589,931,2840
3W,TOYOTA KIRLOSKAR MOTOR PVT LTD,0,0,0,1,0,0,0,0,0,0,1
LMV,TOYOTA KIRLOSKAR MOTOR PVT LTD,19,24,12,28,3,0,6,1,0,0,93
LMV,TOYOTA MATERIAL HANDLING INDIA PVT LTD,0,0,0,0,1,0,3,0,0,0,4
3W,TRANSVAHAN TECHNOLOGIES INDIA PVT LTD,0,0,0,0,9,0,0,0,0,0,9
3W,TRINITY ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,2,13,9,57,120,201
3W,TRISHIKA INDUSTRIES,0,0,0,11,108,146,416,1355,1361,422,3819
3W,TRUPART AUTOMOTIVE INDIA PVT LTD,0,0,2,71,61,10,2,0,10,1,157
3W,TRUZ INDUSTRIES,0,0,0,5,6,0,0,0,3,4,18
3W,TSM ENGINEERING PVT LTD,0,5,42,47,26,5,0,7,296,227,655
3W,TSR TRADE COM,0,0,0,0,10,35,35,29,30,9,148
3W,TUFAN MOTORS PVT LTD,0,0,0,0,208,82,193,391,987,460,2321
2W,TUNWAL E MOTORS PVT LTD,0,0,0,0,0,0,1,58,44,16,119
2W,TVS MOTOR COMPANY LTD,165,171,69,23,30,233,5258,47182,166580,98516,318227
3W,TVS MOTOR COMPANY LTD,2,6,6,3,0,0,0,5,97,99,218
3W,TWASHTRE AUTOMOTIVE PVT LTD,0,0,0,0,19,4,6,6,11,6,52
3W,TWINKLE TRADCOM PVT LTD,0,4,357,356,448,454,311,476,1505,449,4360
3W,TWO FRIENDS AUTO ELECTRIC CO,0,0,0,260,368,289,940,2724,3848,2002,10431
2W,TYST DRIVE INDIA PVT LTD,0,0,0,0,0,2,25,40,31,6,104
3W,U P TELELINKS LTD,22,210,135,1,4,0,0,15,3,0,390
3W,U V MOTORS INDIA PVT LTD,0,0,0,45,34,16,0,0,0,0,95
3W,U.P. TELELINKS LIMITED,0,299,791,581,656,304,499,1978,2438,1760,9306
LMV,U.P. TELELINKS LIMITED,0,0,0,0,0,0,0,1,2,0,3
2W,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,0,256,69,325
3W,UMA  AUTO INDUSTRIES PVT. LTD,0,3,23,126,41,2,1,34,137,50,417
3W,UMA AUTO INDUSTRIES PVT LTD,0,1,0,6,1,0,0,0,0,0,8
3W,UMA MOTORS,0,0,0,26,99,37,72,191,211,125,761
3W,UNIC,0,0,13,0,0,0,0,0,0,0,13
3W,UNICORN DIGITAL SYSTEMS PVT LTD,0,0,1,2,1,0,3,0,0,0,7
3W,UNIQUE AUTO ELECTRIC,0,0,0,0,0,0,0,0,26,874,900
3W,UNIQUE ENTERPRISES,0,0,1,174,313,185,778,1671,3580,2132,8834
3W,UNIQUE INTERNATIONAL,0,0,266,1515,2125,1776,3988,10246,13572,8121,41609
LMV,UNIQUE INTERNATIONAL,0,0,0,0,0,0,0,3,3,0,6
3W,UNITED AUTO TRACTORS LTD      ,0,1,0,0,0,0,0,0,0,0,1
3W,UNITED TRANSMOVERS PVT LTD,0,0,42,657,788,291,226,321,272,194,2791
3W,UNIVERSAL LTD,0,0,0,3,0,0,0,0,0,0,3
3W,URWASHI ENTERPRISES,0,0,0,0,0,0,0,156,355,208,719
3W,USHASONS AUTO COMPONENTS,0,0,0,0,0,0,0,0,0,17,17
3W,V V A ELECTRIC VEHICLE,0,36,0,0,0,0,0,0,0,0,36
3W,V.T. ENGINEERING,0,0,50,258,197,82,59,59,9,0,714
3W,V.T.ENGINEERING,0,0,3,1,0,0,0,0,0,0,4
3W,V.V.A.AUTO INDUSTRIES PVT.LTD,0,6,3,113,103,152,78,72,26,3,556
3W,VAHAK FUTURE SOLUTIONS LLP,0,0,0,0,0,0,12,17,23,89,141
3W,VANI ELECTRIC VEHICLES PVT LTD,0,0,211,1996,3217,3083,3924,5969,7832,4577,30809
3W,VARIOUS INNOVATIVE SYSTEMS HYBRID NANO UTILITIES,0,0,0,1,4,1,0,0,0,0,6
3W,VAUXHALL MOTORS LTD,0,1,3,0,0,0,0,0,0,0,4
3W,VE COMMERCIAL VEHICLES LTD,0,9,12,0,0,0,0,0,0,0,21
LMV,VE COMMERCIAL VEHICLES LTD,0,0,0,0,0,0,0,0,6,27,33
MMV,VE COMMERCIAL VEHICLES LTD,0,0,0,3,0,0,0,7,0,0,10
3W,VEANCO AUTOMOTIVES PVT LTD,0,0,0,0,0,0,1,6,11,3,21
LMV,VEANCO AUTOMOTIVES PVT LTD,0,0,0,0,0,0,1,0,0,0,1
3W,VEECTERO E VEHICLES LLP,0,0,0,9,38,22,24,132,171,59,455
MMV,VEERA VAHANA UDYOG PRIVATE LIMITED,0,0,0,0,0,0,0,0,1,8,9
3W,VEHICLE FACTORY JABALPUR,0,5,22,0,0,0,0,0,0,0,27
3W,VENUS AUTO INDUSTRIES         ,0,2,3,0,0,0,0,0,0,0,5
3W,VENUS AUTO WHEELS PVT LTD,0,1,282,329,306,212,329,398,574,204,2635
3W,VGLAN BUILDCON PRIVATE LIMITED,0,4,10,8,39,1,27,0,0,0,89
3W,VGLAN BUILDCON PVT LTD,4,4,8,4,0,0,0,0,0,0,20
LMV,VGLAN BUILDCON PVT LTD,0,0,13,15,0,0,0,0,0,0,28
3W,VIBGYOR  VEHICLES LIMITED,0,0,1,0,0,0,0,0,0,0,1
3W,VICTOR AGRO INDUSTRIES,0,49,79,7,0,0,0,0,0,0,135
LMV,VICTOR AGRO INDUSTRIES,2,0,0,0,0,0,0,0,0,0,2
3W,VICTORIA E VEHICLES PVT. LTD,0,0,59,59,15,2,1,10,25,2,173
3W,VICTORY ELECTRIC INTERNATIONAL,107,846,1466,2381,1971,858,1243,2135,3319,1402,15728
LMV,VICTORY ELECTRIC INTERNATIONAL,0,2,3,1,1,0,0,0,0,0,7
3W,VIJAYA ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,35,193,256,138,622
3W,VIJAYALAKSHIMI ENGG WORKS,0,0,1,0,0,0,0,0,0,0,1
3W,VIJAYS COOLMAX PRIVATE LIMITED,0,0,0,0,0,0,26,1355,4807,3091,9279
3W,VIJAYSHREE AUTOCOM LIMITED,0,0,0,0,0,0,67,248,181,142,638
3W,VIJEX STEEL FABRICATION,0,0,0,0,0,0,0,0,11,22,33
3W,VIMAL UNIVERSAL TRADE PVT LTD,0,0,0,74,183,74,130,407,831,704,2403
LMV,VINAYAK INDUSTRIES,0,0,11,0,0,0,0,0,0,0,11
3W,VINCI INDUSTRIAL CORPORATION,0,0,0,0,16,34,12,9,39,37,147
2W,VINTAGE VEHICLES,0,0,0,0,0,0,0,0,0,1,1
3W,VISHAL ENTERPRISES,0,0,0,0,0,34,100,140,36,20,330
3W,VISHALA E-VEHICLES INDUSTRIES PRIVATE LIMITED,0,0,0,0,0,0,0,1,92,22,115
3W,VISHWAKARMA GNG INDUSTRY,0,0,0,35,30,19,3,6,123,162,378
3W,VISHWARUP ENTERPRISE,0,0,0,0,4,0,0,2,10,2,18
LMV,VISHWAS TRAILER WELD WORK,0,0,1,0,0,0,0,0,0,0,1
3W,VITAN JAGADA AUTOMOBILE PVT LTD,0,0,0,0,0,0,0,2,3,2,7
3W,VOLKSWAGEN INDIA PVT LTD,1,1,1,0,0,0,0,0,0,0,3
LMV,VOLKSWAGEN INDIA PVT LTD,0,2,1,0,0,0,0,0,0,0,3
3W,VOLMAC ENGINEERING PVT LTD,0,3,26,30,16,2,0,0,0,0,77
3W,VOLTAIC INDUSTRIES PVT LTD,0,0,0,21,5,6,0,0,0,0,32
LMV,VOLTAS LIMITED,0,2,2,0,0,1,0,0,0,0,5
LMV,VOLVO AUTO INDIA PVT LTD,0,0,0,0,0,0,0,35,570,317,922
3W,VORC MOTORS PVT LTD,0,0,0,0,0,0,0,0,0,3,3
3W,VRINDA ENTERPRISES,0,6,44,151,290,191,113,446,1080,847,3168
3W,VSL INDUSTRIES,0,0,0,0,0,0,44,7,0,1,52
3W,VVA AUTO INDUSTRIES PVT LTD,2,77,22,5,0,1,0,0,0,0,107
2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,0,0,0,314,6910,7166,14390
3W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,0,0,0,0,0,18,18
LMV,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,0,0,0,0,0,2,2
2W,WARIVO MOTOR INDIA PVT LTD,0,0,0,0,0,0,0,0,1,23,24
3W,WASAN E-MOBILITY SOLUTIONS PVT LTD,0,0,0,0,0,0,0,13,80,20,113
3W,WELCOME E RICKSHAW,0,1,2,1,0,0,2,0,0,0,6
3W,WELKIN HEALTHCARE PVT LTD,0,0,0,25,67,68,22,114,30,29,355
2W,WHITE CARBON MOTORS PVT LTD,0,0,0,0,0,0,21,82,42,20,165
MMV,WIRTGEN INDIA PVT LTD,1,0,0,0,0,0,0,0,0,0,1
3W,WOX COOLERS PVT LTD,0,0,26,61,17,0,0,1,2,2,109
2W,WUXI DONGMA (IMPORTER: DYNAM PRECISION),0,0,0,0,0,0,0,6,15,6,27
2W,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),0,0,0,0,0,0,0,2,275,64,341
2W,WUXI MAYA (IMPORTER: DYNAMO ELECTRIC P. LTD.),0,0,0,0,0,0,0,0,4,63,67
2W,WUXI NOOMA (IMPORTER: KKL HITECH EV),0,0,0,0,0,0,0,0,0,1,1
2W,WUXI NOOMA (IMPORTER: SMARTNK  ELECTRIC VEHICLE),0,0,0,0,0,0,0,0,10,4,14
2W,WUXI SAIGE (IMPORTER: DM GREEN ENERGY),0,0,0,0,0,0,0,0,68,21,89
3W,WUXI SAIGE (IMPORTER: DM GREEN ENERGY),0,0,0,0,0,0,0,0,0,4,4
2W,WUXI SAIGE (IMPORTER: ELECTRO-TECH),0,0,0,0,0,0,0,0,8,9,17
2W,WUXI SAIGE (IMPORTER: E-VISHWA ELECTOBIKE),0,0,0,0,0,0,0,12,15,4,31
2W,WUXI SAIGE (IMPORTER: NGAGE IMPEX),0,0,0,0,0,0,0,0,2,11,13
2W,WUXI SAIGE (IMPORTER: WARIVO MOTOR),0,0,0,0,0,0,0,1,426,282,709
2W,WUXI SAIGE (IMPORTER: ZELIO AUTO PVT.LTD.),0,0,0,0,0,0,0,0,4,22,26
2W,WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),0,0,0,0,0,0,0,4,182,109,295
2W,WUXI SAIGE ELECTRIC (IMPORTER: GLORIOUS DIGITAL),0,0,0,0,0,0,0,6,54,3,63
2W,WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),0,0,0,0,0,0,0,0,1,45,46
2W,WUXI SHENGBAO (IMPORTER:SHEMA E-VEHICLE),0,0,0,0,0,0,0,0,0,48,48
2W,WUXI TENGHUI (IMPORTER: BOHRE ELECTRIC),0,0,0,0,0,0,0,0,37,6,43
2W,WUXI TENGHUI (IMPORTER: FEZORA INDIA),0,0,0,0,0,0,0,0,35,16,51
2W,WUXI TENGHUI (IMPORTER: FLYCON MOTORS),0,0,0,0,0,0,0,0,72,157,229
2W,WUXI TENGHUI (IMPORTER: FRANKLIN EV INDIA),0,0,0,0,0,0,0,0,22,10,32
2W,WUXI TENGHUI (IMPORTER: HOP ELECTRIC MOBILITY),0,0,0,0,0,0,0,0,389,168,557
2W,WUXI TENGHUI (IMPORTER: JAIDKA POWER),0,0,0,0,0,0,0,0,8,1,9
2W,WUXI TENGHUI (IMPORTER: JOZHI SERVICES),0,0,0,0,0,0,0,0,0,36,36
2W,WUXI TENGHUI (IMPORTER: RADHA MOBILITIES LLP),0,0,0,0,0,0,0,0,2,7,9
2W,WUXI TENGHUI (IMPORTER: REMARK ELECTRIC),0,0,0,0,0,0,0,0,12,4,16
2W,WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),0,0,0,0,0,0,0,15,278,167,460
2W,WUXI TENGHUI INTERNATIONAL (IMPORTER: FEZORA),0,0,0,0,0,0,0,0,17,18,35
2W,WUXI TENGHUI INTERNATIONAL (IMPORTER: FRANKLIN EV),0,0,0,0,0,0,0,0,12,12,24
2W,WUXI TOURWE (IMPORTER: GOREEN E-MOBILITY),0,0,0,0,0,0,0,0,316,102,418
3W,XPLORE AUTOMOTIVE PVT LTD,0,42,62,3,0,0,0,0,0,0,107
3W,XXPLORE AUTOMATIVE PVT LTD,0,31,49,15,11,1,1,12,2,0,122
3W,XXPLORE AUTOMOTIVE PVT. LIMITED,0,22,86,87,129,43,39,15,6,0,427
3W,Y.C.ELECTRIC VEHICLE,780,3348,43,46,1,0,0,0,0,0,4218
3W,YAARI AUTOMOBILES PVT LTD,0,0,0,0,29,88,58,1,3,79,258
2W,YANGGUANG LINGMU (IMPORTER: DAWNGATE BUSINESS),0,0,0,0,0,0,0,25,16,1,42
2W,YANGGUANG LINGMU (IMPORTER: DURGA FILTERS),0,0,0,0,0,0,0,1,9,0,10
2W,YANGGUANG LINGMU (IMPORTER: ECOINDIA),0,0,0,0,0,0,0,0,4,1,5
2W,YANGGUANG LINGMU (IMPORTER: FLYCON MOTORS),0,0,0,0,0,0,0,0,61,96,157
2W,YANGGUANG LINGMU (IMPORTER: REMARK ELECTRIC),0,0,0,0,0,0,0,13,27,13,53
2W,YANGGUANG LINGMU (IMPORTER: XWLS ELECTRIC),0,0,0,0,0,0,0,0,11,13,24
3W,YC ELECTRIC VEHICLE,1,1665,7434,10816,13213,9543,15793,29793,40794,23892,152944
LMV,YC ELECTRIC VEHICLE,0,0,0,0,2,2,0,1,2,0,7
3W,YC ELECTRIC VEHICLE PVT LTD,0,0,30,14,24,8,1,0,0,0,77
3W,YEZDI MOTORS LTD,0,0,2,0,0,0,0,0,0,0,2
2W,YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),0,0,0,0,0,0,0,0,82,109,191
2W,YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),0,0,0,0,0,0,0,0,80,101,181
2W,YOUYAKU ELECTRIC (IMPORTER: SHEMA E-VEHICLE),0,0,0,0,0,0,0,0,0,3,3
2W,YOUYAKU ELECTRIC (IMPORTER: SMOBILITY EV),0,0,0,0,0,0,0,0,0,36,36
2W,YOUYAKU ELECTRIC (IMPORTER: TVISI ELECTRIC),0,0,0,0,0,0,0,0,2,11,13
2W,YOUYAKU ELECTRIC (IMPORTER:IME VEHICLES PVT LTD),0,0,0,0,0,0,0,0,218,232,450
2W,YOUYAKU ELECTRIC (IMPORTER:KRISHIKA EV INDIA),0,0,0,0,0,0,0,0,0,23,23
2W,YOUYAKU ELECTRIC (IMPORTER:NEWTRON ELECTRIC),0,0,0,0,0,0,0,0,36,67,103
2W,YOUYAKU ELECTRIC (IMPORTER:ONZO EV),0,0,0,0,0,0,0,0,20,37,57
3W,YUVRAJ INTERNATIONAL,0,0,0,71,31,3,4,5,0,0,114
LMV,YUVRAJ INTERNATIONAL,0,0,0,1,0,0,0,0,0,0,1
2W,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),0,0,0,0,0,0,0,35,128,48,211
2W,ZAP (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),0,0,0,0,0,0,0,0,32,7,39
3W,ZBEE INDIA PVT LTD,0,0,0,16,2,2,1,0,0,0,21
3W,ZENIAK INNOVATION INDIA LTD,0,10,605,789,1621,1281,931,1561,2836,2626,12260
LMV,ZENIAK INNOVATION INDIA LTD,0,0,0,0,0,0,0,1,0,0,1
3W,ZENTHIUM EV PVT LTD,0,0,0,0,0,0,118,223,718,612,1671
3W,ZEOPLUS AXIS INDIA PVT. LTD.,0,0,0,0,0,0,0,382,3563,3578,7523
3W,ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD,0,0,0,0,0,0,0,3,11,55,69
3W,ZESAR MOTORS PVT LTD,0,0,4,12,12,8,15,23,37,19,130
2W,ZHEJIANG LUYUAN (IMPORTER: DYNAM EV TECH),0,0,0,0,0,0,0,21,45,9,75
2W,ZHEJIANG TIANYING  (IMPORTER: NEWTRON ELECTRIC),0,0,0,0,0,0,0,0,64,6,70
2W,ZHONGHUALONG (IMPORTER: POWORO PVT LTD),0,0,0,0,0,0,0,0,0,54,54
2W,ZHONGXING (IMPORTER:GREENO AUTOMOBILE),0,0,0,0,0,0,0,0,0,5,5
3W,ZOHAN TRADERS AND BIG METRO,0,0,0,0,0,0,0,5,131,74,210
